球団,推定年俸,守備,年数,年齢,身長,体重,血液型,投打,年,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,球団勝率,プレーオフ,球団平均得点,球団打率
c,3300,内野手,11,33,175,83,O型,右右,2017,0.175,26,65,57,10,0,8,1,6,0,13,2,3,0.254,0.21100000000000002,0.46399999999999997,1.11,1.25,0.633,2,5.15,0.273
c,2200,外野手,3,26,189,107,不明,右右,2017,0.256,61,143,125,32,11,26,0,15,1,44,0,3,0.336,0.56,0.8959999999999999,6.33,6.55,0.633,2,5.15,0.273
c,2200,外野手,17,35,178,84,O型,左左,2017,0.18899999999999997,56,45,37,7,0,2,1,3,1,17,4,0,0.268,0.21600000000000003,0.485,1.97,2.05,0.633,2,5.15,0.273
c,2000,内野手,3,23,176,72,O型,右左,2017,0.275,95,220,204,56,5,27,4,10,1,35,3,4,0.309,0.41700000000000004,0.725,4.46,4.43,0.633,2,5.15,0.273
c,1600,外野手,10,32,182,96,A型,左左,2017,0.375,33,50,48,18,1,13,0,1,0,15,1,2,0.38799999999999996,0.521,0.909,6.86,6.25,0.633,2,5.15,0.273
c,1600,外野手,4,25,180,83,B型,右左,2017,0.18899999999999997,98,85,74,14,0,2,10,7,0,13,4,1,0.259,0.203,0.462,1.4,1.58,0.633,2,5.15,0.273
c,1500,内野手,9,27,183,88,A型,右右,2017,0.217,44,54,46,10,1,11,0,5,0,13,0,0,0.278,0.304,0.5820000000000001,3.12,3.9,0.633,2,5.15,0.273
c,850,捕手,8,26,178,89,A型,右右,2017,0.235,21,39,34,8,2,3,0,3,1,8,1,1,0.316,0.47100000000000003,0.7859999999999999,4.75,4.77,0.633,2,5.15,0.273
c,800,内野手,6,28,170,71,A型,右両,2017,0.125,37,10,8,1,0,0,3,2,0,3,0,0,0.3,0.125,0.425,3.88,4.13,0.633,2,5.15,0.273
c,650,捕手,15,33,180,92,A型,右右,2017,0.4,3,5,5,2,0,0,1,0,0,2,0,0,0.4,0.6,1.0,11.52,9.99,0.633,2,5.15,0.273
c,630,内野手,9,27,175,76,A型,右左,2017,0.33299999999999996,6,6,3,1,0,0,0,1,0,1,2,0,0.5,0.33299999999999996,0.833,5.14,4.93,0.633,2,5.15,0.273
c,600,捕手,2,20,176,84,A型,右左,2017,0.25,3,4,4,1,0,2,0,0,0,0,0,0,0.25,0.25,0.5,2.05,2.07,0.633,2,5.15,0.273
t,40000,外野手,15,37,188,98,A型,右左,2017,0.29,114,493,427,124,17,62,21,59,5,62,0,12,0.381,0.447,0.8290000000000001,6.23,6.16,0.561,1,4.12,0.249
t,40000,内野手,15,37,180,80,B型,右左,2017,0.293,143,570,488,143,4,41,8,77,2,62,1,13,0.39,0.377,0.767,5.46,5.29,0.561,1,4.12,0.249
t,22000,外野手,15,41,182,90,B型,右左,2017,0.263,127,526,441,116,18,79,1,77,3,92,1,17,0.373,0.444,0.818,5.61,5.63,0.561,1,4.12,0.249
t,7500,内野手,14,34,182,81,A型,右両,2017,0.228,32,100,92,21,0,5,3,7,1,17,0,0,0.29,0.272,0.562,2.76,2.76,0.561,1,4.12,0.249
t,5000,外野手,9,31,178,76,A型,右右,2017,0.309,74,202,191,59,4,23,1,9,0,33,2,1,0.34,0.461,0.8009999999999999,5.95,5.58,0.561,1,4.12,0.249
t,4300,内野手,10,32,173,71,O型,右右,2017,0.284,125,488,409,116,9,38,16,50,4,71,23,7,0.366,0.40299999999999997,0.769,5.47,5.34,0.561,1,4.12,0.249
t,3800,外野手,3,25,181,89,O型,右左,2017,0.25,103,353,328,82,6,24,6,21,3,77,0,3,0.3,0.369,0.669,3.9,3.88,0.561,1,4.12,0.249
t,3800,外野手,8,25,187,93,A型,右右,2017,0.24100000000000002,133,455,411,99,20,61,2,36,5,96,0,5,0.308,0.44299999999999995,0.7509999999999999,4.78,4.85,0.561,1,4.12,0.249
t,2500,捕手,5,27,173,78,A型,右右,2017,0.20600000000000002,112,340,282,58,2,33,1,24,4,63,27,3,0.275,0.273,0.5479999999999999,2.39,2.51,0.561,1,4.12,0.249
t,2500,内野手,2,23,181,84,O型,右右,2017,0.237,75,221,198,47,7,38,2,18,3,41,1,4,0.309,0.414,0.723,4.24,4.28,0.561,1,4.12,0.249
t,2000,内野手,6,24,177,78,O型,右右,2017,0.21,83,252,219,46,3,20,0,23,1,42,7,4,0.28600000000000003,0.301,0.5870000000000001,2.79,2.94,0.561,1,4.12,0.249
t,2000,捕手,9,26,182,92,AB型,右右,2017,0.226,73,216,186,42,6,25,0,22,5,36,1,10,0.321,0.387,0.708,3.73,3.83,0.561,1,4.12,0.249
t,1800,外野手,7,29,177,84,O型,右左,2017,0.261,73,73,69,18,2,9,0,4,0,16,0,1,0.301,0.377,0.6779999999999999,3.7,3.7,0.561,1,4.12,0.249
t,1700,捕手,14,35,180,77,O型,右右,2017,0.195,34,54,41,8,2,5,0,5,1,12,7,0,0.298,0.341,0.639,3.28,3.4,0.561,1,4.12,0.249
t,1600,外野手,4,25,182,82,O型,右両,2017,0.077,28,18,13,1,0,0,1,3,2,5,0,0,0.33299999999999996,0.077,0.41,2.36,2.84,0.561,1,4.12,0.249
t,1600,内野手,2,26,175,78,O型,右左,2017,0.259,66,193,162,42,1,24,1,23,3,26,5,1,0.36200000000000004,0.358,0.72,5.05,4.85,0.561,1,4.12,0.249
t,1600,捕手,3,25,176,78,O型,右右,2017,0.248,42,132,113,28,2,17,0,15,1,32,3,1,0.341,0.345,0.6859999999999999,4.37,4.3,0.561,1,4.12,0.249
t,1000,内野手,8,30,183,74,B型,右左,2017,0.11800000000000001,49,22,17,2,0,0,4,2,0,7,3,0,0.21100000000000002,0.11800000000000001,0.32799999999999996,1.48,1.67,0.561,1,4.12,0.249
t,1000,内野手,8,30,178,72,A型,右右,2017,0.13,29,27,23,3,0,1,0,2,0,10,2,1,0.2,0.217,0.41700000000000004,0.48,0.53,0.561,1,4.12,0.249
t,850,内野手,5,27,180,85,O型,右右,2017,0.16699999999999998,12,19,18,3,1,1,0,1,0,8,0,0,0.21100000000000002,0.33299999999999996,0.544,2.12,2.47,0.561,1,4.12,0.249
t,720,捕手,2,24,173,78,B型,右右,2017,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.561,1,4.12,0.249
t,550,内野手,4,22,175,70,O型,右両,2017,0.278,13,22,18,5,0,0,1,1,0,6,3,0,0.316,0.278,0.594,2.54,2.54,0.561,1,4.12,0.249
yb,35000,外野手,9,26,185,97,A型,右左,2017,0.284,139,601,503,143,28,94,1,93,2,115,0,7,0.396,0.513,0.909,7.59,7.45,0.529,3,4.17,0.252
yb,23000,内野手,6,34,183,103,不明,右右,2017,0.301,142,606,569,171,30,105,0,27,2,80,0,14,0.33,0.5329999999999999,0.863,6.13,6.05,0.529,3,4.17,0.252
yb,12800,外野手,12,30,180,85,A型,右左,2017,0.243,137,578,511,124,21,60,21,62,3,157,0,10,0.327,0.42700000000000005,0.754,5.0,5.0,0.529,3,4.17,0.252
yb,8500,外野手,7,25,174,78,B型,右右,2017,0.26899999999999996,143,664,598,161,13,52,10,45,11,116,10,8,0.332,0.415,0.747,4.68,4.54,0.529,3,4.17,0.252
yb,8000,内野手,6,29,172,85,B型,右右,2017,0.32299999999999995,128,523,480,155,15,62,0,38,4,47,0,23,0.377,0.479,0.856,6.08,5.78,0.529,3,4.17,0.252
yb,7300,内野手,4,27,180,82,B型,右左,2017,0.262,143,539,507,133,2,50,3,18,4,102,9,10,0.292,0.331,0.624,3.2,3.08,0.529,3,4.17,0.252
yb,5500,内野手,14,32,183,78,O型,右左,2017,0.24600000000000002,63,192,167,41,2,11,1,12,4,41,6,4,0.306,0.32299999999999995,0.63,3.21,3.36,0.529,3,4.17,0.252
yb,3800,捕手,3,28,179,87,A型,右左,2017,0.214,112,363,336,72,9,52,0,19,0,59,6,9,0.255,0.33299999999999996,0.588,2.49,2.61,0.529,3,4.17,0.252
yb,3000,外野手,8,32,179,80,A型,右左,2017,0.226,47,65,62,14,0,1,0,2,1,16,0,1,0.262,0.306,0.568,2.48,2.37,0.529,3,4.17,0.252
yb,2300,内野手,3,24,167,68,O型,右左,2017,0.233,88,248,215,50,1,11,1,17,3,50,11,2,0.295,0.284,0.579,2.83,2.92,0.529,3,4.17,0.252
yb,2200,内野手,14,36,177,77,O型,右右,2017,0.201,66,175,154,31,1,20,2,11,2,25,8,4,0.263,0.253,0.517,1.92,2.0,0.529,3,4.17,0.252
yb,2100,外野手,7,24,182,83,O型,右左,2017,0.19,83,66,63,12,2,3,0,1,1,13,1,0,0.215,0.33299999999999996,0.5489999999999999,2.26,2.37,0.529,3,4.17,0.252
yb,1900,捕手,5,27,175,85,B型,右右,2017,0.248,52,135,121,30,3,12,0,4,6,35,4,3,0.305,0.364,0.669,3.58,3.58,0.529,3,4.17,0.252
yb,1570,外野手,5,23,173,75,A型,左左,2017,0.158,29,20,19,3,0,1,0,1,0,5,0,0,0.2,0.158,0.358,0.39,0.61,0.529,3,4.17,0.252
yb,1140,内野手,4,25,173,72,B型,右左,2017,0.14300000000000002,21,21,21,3,0,0,0,0,0,6,0,0,0.14300000000000002,0.23800000000000002,0.381,0.39,0.41,0.529,3,4.17,0.252
yb,700,内野手,2,23,178,84,A型,右左,2017,0.095,18,24,21,2,0,1,0,3,0,5,0,0,0.20800000000000002,0.14300000000000002,0.35100000000000003,0.45,0.7,0.529,3,4.17,0.252
yb,540,外野手,7,25,186,90,A型,右右,2017,0.231,12,13,13,3,1,2,0,0,0,2,0,0,0.231,0.462,0.6920000000000001,3.88,4.1,0.529,3,4.17,0.252
yb,540,外野手,2,20,179,86,AB型,右右,2017,0.4,2,6,5,2,2,4,0,1,0,3,0,0,0.5,1.6,2.1,27.29,26.37,0.529,3,4.17,0.252
g,35000,内野手,12,29,186,83,AB型,右右,2017,0.29100000000000004,142,614,539,157,15,61,14,68,3,85,1,16,0.37200000000000005,0.43,0.802,5.69,5.55,0.514,0,3.75,0.249
g,30000,外野手,13,31,183,89,A型,右右,2017,0.264,87,381,330,87,9,33,4,41,7,80,2,6,0.35600000000000004,0.406,0.762,5.24,5.16,0.514,0,3.75,0.249
g,26600,内野手,3,36,185,100,不明,右右,2017,0.315,139,586,523,165,18,77,4,58,1,107,0,20,0.382,0.514,0.897,6.79,6.46,0.514,0,3.75,0.249
g,21000,内野手,18,39,180,97,A型,右左,2017,0.262,129,512,455,119,15,76,0,41,8,67,1,13,0.32899999999999996,0.389,0.718,4.35,4.51,0.514,0,3.75,0.249
g,19000,外野手,9,33,180,85,O型,右右,2017,0.261,134,516,463,121,16,46,6,46,5,98,1,17,0.33399999999999996,0.42100000000000004,0.755,4.72,4.66,0.514,0,3.75,0.249
g,5400,捕手,5,29,178,83,O型,右右,2017,0.20600000000000002,138,443,378,78,2,27,2,41,2,64,19,12,0.285,0.257,0.542,2.19,2.29,0.514,0,3.75,0.249
g,5200,外野手,14,36,178,82,AB型,右左,2017,0.251,109,277,247,62,6,47,1,27,1,38,0,4,0.325,0.389,0.7140000000000001,4.56,4.53,0.514,0,3.75,0.249
g,3200,内野手,12,35,177,73,B型,右右,2017,0.24,83,34,25,6,1,6,1,3,1,8,5,0,0.345,0.56,0.905,6.02,5.75,0.514,0,3.75,0.249
g,2900,外野手,10,28,172,78,O型,右左,2017,0.267,78,139,120,32,1,6,3,11,1,30,6,2,0.331,0.36700000000000005,0.6970000000000001,4.07,4.01,0.514,0,3.75,0.249
g,2900,外野手,10,28,181,82,A型,右左,2017,0.20800000000000002,62,214,197,41,0,10,4,11,0,43,6,1,0.25,0.254,0.504,1.7,1.79,0.514,0,3.75,0.249
g,2500,外野手,7,25,178,77,O型,右右,2017,0.242,99,251,236,57,5,20,2,13,2,51,0,8,0.287,0.381,0.6679999999999999,3.45,3.38,0.514,0,3.75,0.249
g,2400,内野手,11,28,183,88,B型,右右,2017,0.249,90,254,229,57,5,15,2,19,1,44,4,5,0.308,0.376,0.684,3.87,3.85,0.514,0,3.75,0.249
g,2400,外野手,3,25,173,70,A型,右左,2017,0.157,74,77,70,11,0,2,10,6,0,21,1,0,0.22399999999999998,0.214,0.43799999999999994,1.33,1.48,0.514,0,3.75,0.249
g,2000,内野手,13,37,177,77,A型,右左,2017,0.25,52,68,64,16,0,0,0,3,0,14,1,2,0.284,0.25,0.534,2.03,2.06,0.514,0,3.75,0.249
g,1800,内野手,3,25,176,76,B型,右右,2017,0.182,29,83,66,12,1,7,1,9,1,18,7,1,0.289,0.258,0.547,2.44,2.56,0.514,0,3.75,0.249
g,1700,捕手,3,25,181,87,O型,右左,2017,0.35,21,45,40,14,4,8,0,3,2,14,0,0,0.42200000000000004,0.65,1.072,10.66,10.4,0.514,0,3.75,0.249
g,1300,内野手,2,23,177,79,A型,右左,2017,0.273,5,12,11,3,0,0,1,0,0,2,1,0,0.273,0.273,0.545,3.03,2.94,0.514,0,3.75,0.249
g,1200,内野手,4,22,185,96,A型,右右,2017,0.19399999999999998,15,35,31,6,0,2,0,4,0,10,0,0,0.28600000000000003,0.226,0.512,2.31,2.43,0.514,0,3.75,0.249
g,960,内野手,6,24,181,83,B型,右左,2017,0.25,18,36,32,8,0,1,1,4,0,7,0,1,0.33299999999999996,0.25,0.583,3.15,3.19,0.514,0,3.75,0.249
d,18000,外野手,9,33,176,75,A型,左左,2017,0.313,119,521,476,149,3,29,23,37,4,66,1,5,0.365,0.387,0.752,5.64,5.43,0.428,0,3.41,0.247
d,17000,内野手,3,29,185,108,不明,右右,2017,0.25,87,367,332,83,18,49,4,29,5,52,0,10,0.319,0.452,0.7709999999999999,4.87,4.93,0.428,0,3.41,0.247
d,12000,外野手,13,30,177,94,B型,右右,2017,0.244,66,270,238,58,6,29,4,29,1,60,0,4,0.326,0.395,0.721,4.68,4.69,0.428,0,3.41,0.247
d,7000,内野手,23,41,180,77,A型,右右,2017,0.249,85,267,249,62,0,8,5,13,0,41,5,8,0.28600000000000003,0.281,0.5670000000000001,2.51,2.47,0.428,0,3.41,0.247
d,5500,外野手,13,37,183,82,O型,右両,2017,0.265,128,408,374,99,6,42,5,24,2,96,6,6,0.311,0.377,0.688,3.86,3.82,0.428,0,3.41,0.247
d,4000,内野手,2,24,184,83,O型,右左,2017,0.264,141,602,564,149,4,36,23,18,9,105,10,5,0.297,0.355,0.652,3.58,3.5,0.428,0,3.41,0.247
d,3600,内野手,12,30,181,88,O型,右右,2017,0.271,95,326,299,81,18,49,0,21,5,70,0,4,0.32799999999999996,0.515,0.843,5.95,5.89,0.428,0,3.41,0.247
d,3000,内野手,12,30,184,86,O型,右右,2017,0.205,91,167,151,31,1,8,0,9,0,39,7,4,0.25,0.272,0.522,1.69,1.72,0.428,0,3.41,0.247
d,2600,内野手,7,30,174,77,B型,右左,2017,0.287,98,290,254,73,2,13,6,13,3,30,18,1,0.327,0.331,0.6579999999999999,3.72,3.72,0.428,0,3.41,0.247
d,2100,外野手,14,37,172,75,A型,左左,2017,0.235,82,58,51,12,0,0,3,3,0,13,4,1,0.278,0.255,0.5329999999999999,2.17,2.13,0.428,0,3.41,0.247
d,2000,捕手,9,30,179,81,A型,右左,2017,0.221,87,244,208,46,2,17,0,22,3,63,10,3,0.303,0.293,0.597,3.0,3.07,0.428,0,3.41,0.247
d,2000,捕手,6,27,173,80,O型,右右,2017,0.091,39,83,66,6,0,1,0,9,2,16,5,1,0.218,0.091,0.309,0.15,0.53,0.428,0,3.41,0.247
d,1650,内野手,7,24,180,85,O型,右左,2017,0.233,41,148,129,30,2,10,0,15,0,31,1,3,0.306,0.326,0.632,3.13,3.39,0.428,0,3.41,0.247
d,1600,外野手,9,31,185,87,O型,右右,2017,0.27699999999999997,56,129,119,33,4,18,0,6,3,38,1,2,0.32799999999999996,0.43700000000000006,0.765,5.04,4.86,0.428,0,3.41,0.247
d,1500,捕手,16,34,179,88,O型,右右,2017,0.22699999999999998,50,76,66,15,1,7,0,7,1,21,2,3,0.311,0.28800000000000003,0.599,2.62,2.7,0.428,0,3.41,0.247
d,1300,内野手,11,33,180,78,A型,右右,2017,0.217,53,100,92,20,2,11,0,5,0,23,2,0,0.255,0.315,0.57,2.54,2.74,0.428,0,3.41,0.247
d,1200,外野手,4,29,182,83,O型,右左,2017,0.225,50,109,102,23,2,11,2,4,1,28,2,1,0.262,0.33299999999999996,0.595,2.78,2.83,0.428,0,3.41,0.247
d,1200,捕手,3,26,183,92,B型,右右,2017,0.192,51,94,78,15,0,4,0,10,1,21,4,4,0.289,0.256,0.545,1.96,2.05,0.428,0,3.41,0.247
d,1000,内野手,3,28,185,80,B型,右右,2017,0.268,21,46,41,11,0,2,1,4,0,13,1,0,0.33299999999999996,0.293,0.626,3.99,3.92,0.428,0,3.41,0.247
d,980,内野手,10,34,180,83,B型,左左,2017,0.2,15,35,35,7,0,0,0,0,0,5,0,2,0.2,0.257,0.457,0.6,0.58,0.428,0,3.41,0.247
d,900,外野手,4,29,174,82,O型,右左,2017,0.21899999999999997,22,34,32,7,0,3,0,2,0,6,0,0,0.265,0.281,0.546,2.55,2.51,0.428,0,3.41,0.247
d,810,外野手,4,25,179,78,A型,右右,2017,0.207,14,33,29,6,1,1,0,3,0,7,1,1,0.281,0.345,0.626,2.84,2.94,0.428,0,3.41,0.247
d,700,外野手,4,27,170,76,O型,右左,2017,0.25,5,17,16,4,0,2,0,0,1,4,0,0,0.294,0.375,0.669,2.97,2.8,0.428,0,3.41,0.247
d,650,内野手,4,28,178,82,A型,右右,2017,0.353,9,17,17,6,1,1,0,0,0,5,0,0,0.353,0.529,0.882,7.38,7.14,0.428,0,3.41,0.247
d,650,内野手,6,24,179,75,O型,右左,2017,0.071,12,16,14,1,1,1,0,2,0,5,0,1,0.188,0.28600000000000003,0.473,0.56,1.04,0.428,0,3.41,0.247
s,33300,外野手,8,34,185,100,不明,右右,2017,0.254,125,519,445,113,32,80,0,70,3,112,0,18,0.358,0.506,0.8640000000000001,5.88,5.95,0.319,0,3.31,0.23399999999999999
s,28000,内野手,8,26,180,76,O型,右右,2017,0.247,143,624,526,130,24,78,14,91,6,132,0,15,0.364,0.435,0.799,5.57,5.57,0.319,0,3.31,0.23399999999999999
s,11000,内野手,18,36,180,96,O型,右右,2017,0.212,15,62,52,11,2,4,0,8,2,13,0,2,0.33899999999999997,0.385,0.723,4.28,4.34,0.319,0,3.31,0.23399999999999999
s,10000,外野手,16,34,181,82,O型,右左,2017,0.29,136,607,535,155,4,38,4,59,5,76,5,6,0.364,0.35,0.713,4.95,4.86,0.319,0,3.31,0.23399999999999999
s,6000,内野手,12,34,178,84,A型,右右,2017,0.22699999999999998,80,311,273,62,5,29,3,27,1,43,10,8,0.299,0.322,0.621,3.09,3.1,0.319,0,3.31,0.23399999999999999
s,6000,外野手,16,34,174,83,A型,左左,2017,0.306,71,300,281,86,2,32,2,12,5,42,0,5,0.34299999999999997,0.402,0.745,4.93,4.7,0.319,0,3.31,0.23399999999999999
s,5400,捕手,10,28,176,83,A型,右右,2017,0.243,127,486,419,102,4,34,2,42,10,65,11,14,0.324,0.325,0.649,3.46,3.53,0.319,0,3.31,0.23399999999999999
s,2300,外野手,12,30,180,73,B型,右左,2017,0.23399999999999999,100,188,167,39,0,11,6,8,2,26,8,0,0.272,0.299,0.5720000000000001,2.78,2.97,0.319,0,3.31,0.23399999999999999
s,2300,内野手,9,31,180,84,AB型,右右,2017,0.207,91,212,188,39,6,25,2,14,3,30,7,7,0.273,0.36700000000000005,0.64,2.95,3.01,0.319,0,3.31,0.23399999999999999
s,1700,内野手,13,34,175,90,O型,左左,2017,0.204,66,104,93,19,0,5,0,8,0,15,1,4,0.267,0.204,0.47200000000000003,1.11,1.21,0.319,0,3.31,0.23399999999999999
s,1700,内野手,5,27,178,75,B型,右右,2017,0.20800000000000002,72,171,144,30,0,8,3,16,1,31,8,5,0.28800000000000003,0.25,0.5379999999999999,2.23,2.35,0.319,0,3.31,0.23399999999999999
s,1600,内野手,5,30,176,73,A型,右左,2017,0.257,97,309,292,75,2,12,5,9,1,56,6,6,0.281,0.28800000000000003,0.568,2.48,2.53,0.319,0,3.31,0.23399999999999999
s,1560,捕手,8,26,178,83,AB型,右右,2017,0.13699999999999998,37,86,73,10,1,7,1,11,1,20,0,2,0.256,0.21899999999999997,0.475,1.57,1.91,0.319,0,3.31,0.23399999999999999
s,1500,外野手,7,31,180,70,O型,右右,2017,0.217,35,24,23,5,0,0,0,1,0,8,0,0,0.25,0.261,0.511,1.44,1.51,0.319,0,3.31,0.23399999999999999
s,1300,外野手,3,25,173,68,O型,左左,2017,0.242,59,246,219,53,1,13,6,18,0,44,9,3,0.3,0.32,0.619,3.04,2.99,0.319,0,3.31,0.23399999999999999
s,1150,外野手,14,31,189,85,O型,右右,2017,0.209,45,91,86,18,1,7,1,5,0,15,0,1,0.253,0.326,0.578,2.7,2.68,0.319,0,3.31,0.23399999999999999
s,1050,内野手,6,27,177,79,B型,右右,2017,0.198,42,104,91,18,0,7,0,9,0,19,4,3,0.27,0.22,0.49,1.55,1.63,0.319,0,3.31,0.23399999999999999
s,1000,内野手,14,36,184,93,B型,左左,2017,0.162,94,143,130,21,3,16,0,13,0,27,0,5,0.23800000000000002,0.254,0.49200000000000005,1.34,1.54,0.319,0,3.31,0.23399999999999999
s,950,内野手,5,23,178,76,O型,右左,2017,0.239,44,125,113,27,0,5,1,9,1,33,1,3,0.298,0.27399999999999997,0.573,2.54,2.62,0.319,0,3.31,0.23399999999999999
s,900,捕手,13,34,178,83,B型,右右,2017,0.16699999999999998,7,13,12,2,0,1,0,0,0,2,1,0,0.16699999999999998,0.16699999999999998,0.33299999999999996,0.17,0.29,0.319,0,3.31,0.23399999999999999
s,700,内野手,3,21,183,81,O型,右右,2017,0.25,11,31,28,7,0,1,0,2,1,11,0,1,0.32299999999999995,0.28600000000000003,0.608,2.98,2.93,0.319,0,3.31,0.23399999999999999
h,40000,内野手,18,36,185,93,B型,右右,2017,0.297,73,300,266,79,12,50,0,32,0,26,0,9,0.37,0.48100000000000004,0.851,6.13,6.05,0.657,4,4.46,0.259
h,40000,内野手,13,35,180,87,B型,右右,2017,0.264,143,577,531,140,24,71,5,43,1,128,0,16,0.319,0.45799999999999996,0.777,4.84,4.84,0.657,4,4.46,0.259
h,40000,外野手,5,32,175,95,不明,右右,2017,0.262,136,545,478,125,35,103,3,59,5,119,0,14,0.34700000000000003,0.513,0.8590000000000001,6.01,6.09,0.657,4,4.46,0.259
h,40000,外野手,8,30,188,92,AB型,右左,2017,0.31,130,551,448,139,31,99,14,89,7,123,0,6,0.426,0.589,1.016,9.17,8.99,0.657,4,4.46,0.259
h,22000,内野手,9,27,172,75,O型,右右,2017,0.264,141,623,526,139,14,64,15,38,4,93,52,12,0.317,0.42200000000000004,0.7390000000000001,4.26,4.2,0.657,4,4.46,0.259
h,20000,外野手,12,33,180,86,AB型,右左,2017,0.21600000000000003,23,44,37,8,2,7,1,7,0,15,0,0,0.341,0.514,0.8540000000000001,6.52,6.53,0.657,4,4.46,0.259
h,18000,内野手,13,33,174,72,O型,右左,2017,0.213,62,143,122,26,0,8,3,12,0,20,9,2,0.284,0.262,0.546,2.26,2.26,0.657,4,4.46,0.259
h,16000,外野手,11,29,176,84,O型,左左,2017,0.27,143,600,511,138,6,42,3,67,3,57,14,5,0.355,0.35,0.705,4.63,4.65,0.657,4,4.46,0.259
h,10000,内野手,15,32,175,67,B型,右左,2017,0.27899999999999997,103,339,290,81,1,23,5,30,1,57,15,3,0.34600000000000003,0.345,0.691,4.14,4.12,0.657,4,4.46,0.259
h,7000,内野手,13,35,171,73,A型,右右,2017,0.264,81,137,110,29,5,13,2,18,2,24,6,1,0.374,0.46399999999999997,0.838,5.94,5.94,0.657,4,4.46,0.259
h,4000,捕手,8,26,170,80,O型,右右,2017,0.23199999999999998,103,257,207,48,5,18,4,26,2,68,22,2,0.32299999999999995,0.37200000000000005,0.695,4.1,4.06,0.657,4,4.46,0.259
h,4000,外野手,16,34,183,88,B型,右右,2017,0.17600000000000002,8,19,17,3,2,2,0,1,1,7,0,1,0.263,0.529,0.7929999999999999,3.84,4.27,0.657,4,4.46,0.259
h,3500,外野手,5,23,184,85,O型,右左,2017,0.26,134,453,415,108,13,51,12,24,2,96,10,3,0.302,0.434,0.736,4.28,4.25,0.657,4,4.46,0.259
h,3400,捕手,12,37,179,86,O型,右左,2017,0.20600000000000002,92,195,175,36,1,20,0,12,1,30,5,1,0.258,0.24600000000000002,0.504,1.93,2.14,0.657,4,4.46,0.259
h,2800,外野手,12,29,182,77,AB型,右左,2017,0.183,104,113,104,19,3,16,4,6,0,34,3,1,0.22699999999999998,0.308,0.535,1.96,2.15,0.657,4,4.46,0.259
h,2200,内野手,6,28,175,67,O型,右左,2017,0.228,58,130,114,26,2,8,2,5,2,28,9,0,0.273,0.35100000000000003,0.624,3.3,3.28,0.657,4,4.46,0.259
h,1700,外野手,14,32,180,89,B型,右右,2017,0.179,32,71,67,12,1,5,0,2,1,20,1,0,0.214,0.26899999999999996,0.483,1.6,1.71,0.657,4,4.46,0.259
h,1200,内野手,8,26,173,72,A型,右左,2017,0.33299999999999996,10,3,3,1,0,0,0,0,0,0,0,0,0.33299999999999996,0.33299999999999996,0.667,4.55,4.32,0.657,4,4.46,0.259
h,1150,外野手,7,29,177,85,A型,右右,2017,0.154,14,27,26,4,2,2,0,0,1,8,0,1,0.185,0.423,0.608,2.06,2.38,0.657,4,4.46,0.259
h,620,外野手,6,24,185,87,B型,右右,2017,0.083,9,13,12,1,1,1,0,1,0,2,0,0,0.154,0.33299999999999996,0.48700000000000004,1.37,1.89,0.657,4,4.46,0.259
